hooktheory_id,url,title,artist,bpm,key_tonic,mode,genre,chord_complexity,melodic_complexity,chord_melody_tension,chord_progression_novelty,chord_bass_melody
93328938,https://www.hooktheory.com/theorytab/view/coldplay/adventure-of-a-lifetime,Adventure Of A Lifetime,Coldplay,,A,Minor,,75,53,44,72,24
27278980,https://www.hooktheory.com/theorytab/view/coldplay/all-my-love,All My Love,Coldplay,,A,Major,,60,59,19,60,97
617886,https://www.hooktheory.com/theorytab/view/coldplay/all-your-friends,All Your Friends,Coldplay,,,,,77,16,14,68,21
55556943,https://www.hooktheory.com/theorytab/view/coldplay/always-in-my-head,Always in My Head,Coldplay,,F,Major,,14,15,55,29,38
12523163,https://www.hooktheory.com/theorytab/view/coldplay/atlas,Atlas,Coldplay,,,,,55,65,72,63,59
89448344,https://www.hooktheory.com/theorytab/view/coldplay/cemeteries-of-london,Cemeteries Of London,Coldplay,,,,,,,,,
7599955,https://www.hooktheory.com/theorytab/view/coldplay/chinese-sleep-chant,Chinese Sleep Chant,Coldplay,,E,Major,,85,13,8,83,27
99799192,https://www.hooktheory.com/theorytab/view/coldplay/clocks,Clocks,Coldplay,,,,,44,18,36,57,25
74473717,https://www.hooktheory.com/theorytab/view/coldplay/daylight,Daylight,Coldplay,,,,,84,91,40,95,58
42776080,https://www.hooktheory.com/theorytab/view/coldplay/death-and-all-his-friends,Death and All His Friends,Coldplay,,C,Minor,,41,7,36,45,34
